problem_title,python_solutions
two sum,"class Solution:
    def twoSum(self, nums: List[int], target: int) -> List[int]:
        
        d = {}
        for i, j in enumerate(nums):
            r = target - j
            if r in d: return [d[r], i]
            d[j] = i
		
		# An Upvote will be encouraging"
two sum,"class Solution:
def twoSum(self, nums: List[int], target: int) -> List[int]:
    store = dict()
    for i in range(len(nums)):
        sec = target - nums[i]
        if sec not in store:
            store[nums[i]]=i
        else:
            return [store[sec],i]"
add two numbers,"class Solution:
    def addTwoNumbers(self, l1: Optional[ListNode], l2: Optional[ListNode]) -> Optional[ListNode]:
        res = dummy = ListNode()
        carry = 0
        while l1 or l2:
            v1, v2 = 0, 0
            if l1: v1, l1 = l1.val, l1.next
            if l2: v2, l2 = l2.val, l2.next
            
            val = carry + v1 + v2
            res.next = ListNode(val%10)
            res, carry = res.next, val//10
            
        if carry:
            res.next = ListNode(carry)
            
        return dummy.next"
add two numbers,"class Solution:
    def addTwoNumbers(self, l1: ListNode, l2: ListNode) -> ListNode:
        _ = l1.val + l2.val
        digit, tenth = _ % 10, _ // 10
        answer = ListNode(digit)
        if any((l1.next, l2.next, tenth)):
            l1 = l1.next if l1.next else ListNode(0)
            l2 = l2.next if l2.next else ListNode(0)
            l1.val += tenth
            answer.next = self.addTwoNumbers(l1, l2)    
        return answer"
longest substring without repeating characters,"class Solution(object):
    def lengthOfLongestSubstring(self, s):
        """"""
        :type s: str
        :rtype: int abcabcbb
        """"""
        if len(s) == 0:
            return 0
        seen = {}
        left, right = 0, 0
        longest = 1
        while right < len(s):
            if s[right] in seen:
                left = max(left,seen[s[right]]+1)
            longest = max(longest, right - left + 1)
            seen[s[right]] = right
            right += 1
            print(left, right, longest)
        return longest"
longest substring without repeating characters,"class Solution:
    def lengthOfLongestSubstring(self, s: str) -> int:
        res = 0
        seen = set()
        for start_idx in range(len(s)):
            seen.clear()
            end_idx = start_idx
            while end_idx < len(s):
                if s[end_idx] in seen:
                    break
                seen.add(s[end_idx])
                end_idx += 1
            res = max(res, end_idx - start_idx)
        return res"
median of two sorted arrays,"class Solution:
    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:
	    # Get the lengths of both lists
        l1,l2 = len(nums1), len(nums2)
		# Determine the middle
        middle = (l1 + l2) / 2
		
		# EDGE CASE:
		# If we only have 1 value (e.g. [1], []), return nums1[0] if the length of
		# that list is greater than the length of l2, otherwise return nums2[1]
		if middle == 0.5: return float(nums1[0]) if l1 > l2 else float(nums2[0])

		# Initialize 2 pointers
        x =  y = 0
		# Initialize 2 values to store the previous and current value (in case of an even
		# amount of values, we need to average 2 values)
        cur = prev = 0
		# Determine the amount of loops we need. If the middle is even, loop that amount + 1:
		# eg: [1, 2, 3, 4, 5, 6]        6 values, middle = 3, loops = 3+1
		#            ^  ^ 
		#            |  +-- cur
		#            +----- prev
 		# If the middle is odd, loop that amount + 0.5
		# eg: [1, 2, 3, 4, 5]           5 values, middle = 2.5, loops = 2.5+0.5
		#            ^
        #            +--- cur
        loops = middle+1 if middle % 1 == 0 else middle+0.5

		# Walk forward the amount of loops
        for _ in range(int(loops)):
            # Store the value of cur in prev
			prev = cur
			# If the x pointer is equal to the amount of elements of nums1 (l1 == len(nums1))
            if x == l1:
			    # Store nums2[y] in cur, 'cause we hit the end of nums1
                cur =  nums2[y]
				# Move the y pointer one ahead
                y += 1
		    # If the y pointer is equal to the amount of elements of nums2 (l2 == len(nums2))
            elif y == l2:
			    # Store nums1[x] in cur, 'cause we hit the end of nums2
                cur =  nums1[x]
				# Move the x pointer one ahead
                x += 1
		    # If the value in nums1 is bigger than the value in nums2
            elif nums1[x] > nums2[y]:
			    # Store nums2[y] in cur, because it's the lowest value
                cur =  nums2[y]
				# Move the y pointer one ahead
                y += 1
			# If the value in nums2 is bigger than the value in nums1
            else:
				# Store nums1[x] in, because it's the lowest value
                cur =  nums1[x]
				# Move the x pointer one ahead
                x += 1
        
		# If middle is even
        if middle % 1 == 0.0:
			# Return the average of the cur + prev values (which will return a float)
            return (cur+prev)/2
		# If middle is odd
        else:
			# Return the cur value, as a float
            return float(cur)"
median of two sorted arrays,"class Solution:
    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:
        m, n = len(nums1), len(nums2)
        mid = (m + n) // 2 + 1
        prev2 = prev1 = None
        i = j = 0

        for _ in range(mid):
            prev2 = prev1
            if j == n or (i != m and nums1[i] <= nums2[j]):
                prev1 = nums1[i]
                i += 1
            else:
                prev1 = nums2[j]
                j += 1
        
        return prev1 if (m + n) % 2 else (prev1 + prev2) / 2"
longest palindromic substring,"class Solution:
    def longestPalindrome(self, s: str) -> str:
        n=len(s)
        def expand_pallindrome(i,j):            
            while 0<=i<=j<n and s[i]==s[j]:
                i-=1
                j+=1                            
            return (i+1, j)
        
        res=(0,0)
        for i in range(n):
            b1 = expand_pallindrome(i,i)
            b2 = expand_pallindrome(i,i+1)            
            res=max(res, b1, b2,key=lambda x: x[1]-x[0]+1) # find max based on the length of the pallindrome strings.
                    
        return s[res[0]:res[1]]"
longest palindromic substring,"class Solution:
    def longestPalindrome(self, s: str) -> str:
        n=len(s)
        def expand_center(i,j):            
            while 0<=i<=j<n and s[i]==s[j]:
                i-=1
                j+=1                
            
            return (i+1, j)                
        
        res=max([expand_center(i,i+offset) for i in range(n) for offset in range(2)], key=lambda x: x[1]-x[0]+1)
        
        return s[res[0]:res[1]]"
